Time (MS),Core Type,Frequency
43000,large, 2704000.0
43100,large, 2704000.0
43200,large, 2704000.0
43300,large, 2704000.0
43400,large, 2704000.0
43500,large, 2704000.0
43600,large, 2704000.0
43700,large, 2704000.0
43800,large, 2704000.0
43900,large, 2704000.0
44000,large, 2704000.0
44100,large, 2704000.0
44200,large, 2704000.0
44300,large, 2704000.0
44400,large, 2704000.0
44500,large, 2704000.0
44600,large, 2704000.0
44700,large, 2704000.0
44800,large, 2704000.0
44900,large, 2704000.0
45000,large, 2704000.0
45100,large, 2704000.0
45200,large, 2704000.0
45300,large, 2704000.0
45400,large, 2704000.0
45500,large, 2704000.0
45600,large, 2704000.0
45700,large, 2704000.0
45800,large, 2704000.0
45900,large, 2704000.0
46000,large, 2704000.0
46100,large, 2704000.0
46200,large, 2704000.0
46300,large, 2704000.0
46400,large, 2704000.0
46500,large, 2704000.0
46600,large, 2704000.0
46700,large, 2704000.0
46800,large, 2704000.0
46900,large, 2704000.0
47000,large, 2704000.0
47100,large, 2704000.0
47200,large, 2704000.0
47300,large, 2704000.0
47400,large, 2704000.0
47500,large, 2704000.0
47600,large, 2704000.0
47700,large, 2704000.0
47800,large, 2704000.0
47900,large, 2704000.0
48000,large, 2704000.0
48100,large, 2704000.0
48200,large, 2704000.0
48300,large, 2704000.0
48400,large, 2704000.0
48500,large, 2704000.0
48600,large, 2704000.0
48700,large, 2704000.0
48800,large, 2704000.0
48900,large, 2704000.0
49000,large, 2704000.0
49100,large, 500000.0
49200,large, 1106000.0
49300,large, 500000.0
49400,large, 1106000.0
49500,large, 2401000.0
49600,large, 2401000.0
49700,large, 2507000.0
49800,large, 2704000.0
49900,large, 2704000.0
50000,large, 2704000.0
50100,large, 2704000.0
50200,large, 2704000.0
50300,large, 2704000.0
50400,large, 2704000.0
50500,large, 2704000.0
50600,large, 2704000.0
50700,large, 2704000.0
50800,large, 2704000.0
50900,large, 2704000.0
51000,large, 2704000.0
51100,large, 2704000.0
51200,large, 2704000.0
51300,large, 2704000.0
51400,large, 2704000.0
51500,large, 2704000.0
51600,large, 2704000.0
51700,large, 2704000.0
51800,large, 2704000.0
51900,large, 2704000.0
52000,large, 2704000.0
52100,large, 2704000.0
52200,large, 2704000.0
52300,large, 2704000.0
52400,large, 2704000.0
52500,large, 2704000.0
52600,large, 2704000.0
52700,large, 2704000.0
52800,large, 2704000.0
52900,large, 2704000.0
53000,large, 2704000.0
53100,large, 2704000.0
53200,large, 2704000.0
53300,large, 2704000.0
53400,large, 2704000.0
53500,large, 2704000.0
53600,large, 2704000.0
53700,large, 2704000.0
53800,large, 2704000.0
53900,large, 2704000.0
54000,large, 2704000.0
54100,large, 2704000.0
54200,large, 2704000.0
54300,large, 2704000.0
54400,large, 2704000.0
